Birth date,First name,Middle name,Last name,Weight,Height,Salary,Random String,Random Date,Magic Number,Extra Column
01/01/1970,John,Middle,Smith,81.5,180.1,1000001,asdfjkffdf,31/12/2000,9283,&&&&&&&&
02/01/1975,Jane,RandomMiddleNam,Doe,61.1,83.62,00001,asdfjkffdf,31/12/2000,399.,&&&&&&&&
03/11/1988,Bob,Magic,Big,102.4,65.98,9,asdfjkffdf,31/12/2000,399.,!!!!!!!!
04/12/2000,Steve,DoesThisWork,LastName,62.75,198.,1000,asdfjkffdf,31/12/2000,399.,........
05/01/1970,AAAAAAAAAAAAAAA,BBBBBBBBBBBBBBB,CCCCCCCCCCCCCCC,181.5,180.1,9999999,asdfjkffdf,31/12/2000,399.,&&&&&&&&
06/01/1970,John,Middle,Smith,81.5,180.1,9999999,asdfjkffdf,31/12/2000,399.,&&&&&&&&
07/01/1970,John,Middle,Smith,81.5,180.1,9999999,asdfjkffdf,31/12/2000,399.,&&&&&&&&
08/01/1970,John,Middle,Smith,81.5,180.1,9999999,asdfjkffdf,31/12/2000,399.,&&&&&&&&
09/01/1970,John,Middle,Smith,81.5,180.1,9999999,asdfjkffdf,31/12/2000,399.,&&&&&&&&
10/01/1970,John,Middle,Smith,81.5,180.1,9999999,asdfjkffdf,31/12/2000,399.,&&&&&&&&
11/01/1970,John,Middle,Smith,81.5,180.1,9999999,asdfjkffdf,31/12/2000,399.,&&&&&&&&
12/01/1975,Jane,RandomMiddleNam,Doe,61.1,83.62,9999999,asdfjkffdf,31/12/2000,399.,&&&&&&&&
13/11/1988,Bob,Magic,Big,102.4,65.98,9999999,asdfjkffdf,31/12/2000,399.,&&&&&&&&
14/12/2000,Steve,DoesThisWork,LastName,62.75,198.7,9999999,asdfjkffdf,31/12/2000,399.,&&&&&&&&
15/01/1970,AAAAAAAAAAAAAAA,BBBBBBBBBBBBBBB,CCCCCCCCCCCCCCC,181.5,180.1,9999999,asdfjkffdf,31/12/2000,399.,&&&&&&&&
16/01/1970,John,,Smith,81.5,180.1,9999999,asdfjkf///,31/12/2000,399.,&&&&&&&&
17/01/1970,John,Middle,Smith,81.5,180.1,9999999,asdfjkf233,31/12/2000,399.,&&&&&&&&
18/01/1970,John,Middle,Smith,81.5,180.1,1292,asdfjkffd2,31/12/2000,399.,&&&&&&&&
19/01/1970,John,Middle,Smith,81.5,180.1,123459,asdfjkf182,31/12/2000,399.,&&&&&&&&
20/01/1970,John,Middle,Smith,81.5,180.1,-394830,asdfjk2839,31/12/2000,399.,&&&&&&&&
21/01/1970,John,Middle,Smith,81.5,180.1,-93.398,asdfjk-183,31/12/2000,399.,&&&&&&&&
22/01/1975,Jane,RandomMiddleNam,Doe,61.1,83.62,-399330,asdfjkf132,31/12/2000,399.,&&&&&&&&
23/11/1988,Bob,Magic,Big,102.4,65.98,0.3,asdfjk3*(),31/12/2000,399.,&&&&&&&&
24/12/2000,Steve,DoesThisWork,LastName,62.75,198.7,0.32423,asdfjkf!!!,31/12/2000,399.,&&&&&&&&
25/01/1970,AAAAAAAAAAAAAAA,BBBBBBBBBBBBBBB,CCCCCCCCCCCCCCC,181.5,180.1,2939394,asdfjkf234,31/12/2000,399.,&&&&&&&&
26/01/1970,John,Middle,Smith,81.5,180.1,2394829,asdfjkff43,31/12/2000,399.,&&&&&&&&
27/01/1970,John,Middle,Smith,81.5,180.1,2938492,asdfjkff13,31/12/2000,399.,&&&&&&&&
28/01/1970,John,Middle,Smith,81.5,180.1,2394803,asdfjkff12,31/12/2000,399.,&&&&&&&&
29/01/1970,John,Middle,Smith,81.5,180.1,2394844,asdfjkff11,31/12/2000,-99.2,&&&&&&&&
30/01/1970,John,Middle,Smith,81.5,180.1,2938492,asdfjkff10,31/12/2000,-399.,&&&&&&&&
